id,star,sentiment,text
0,0,0.36250000000000004,"I had to read this book for a class. Murasaki Shikibu is a brilliant writer, and the translator did her a lot of justice. The characters are complex and beautiful and so very human."
1,0,0.051388888888888894,"Thought of as the first novel written ""The Tale of Genji"" was written during the Heian period by Lady Murasaki Shikibu.  The story is an interpretation of her accounts in the royal court of Japan.  The setting is placed in the capital of Japan in the 10th century.  Her writings spanned her life in court which changed and matured while she served the Empress Akiko.  Once completed, the tale was widely accepted immediately after its release.  The story recounts the life of a noblemen brought to commoner's status by his father the emperor.  His beauty and talents (poetry, music, seduction) are heavenly and beyond reproach.  It follows his life from childhood to adulthood and how drastic turning points of his life are overcome (the story carries past his death and on through to his descendants).  An example would be his self exile to Suma  after a disastrous affair emboldens his love for Murasaki (the heroine of the story).  He grows as the years pass and learns a great deal from his past indiscretions.  A bond can be felt with the main character.  Even though his situations occurred in times long past, they can still be related to situations of love, close friendships, family bonding and the overcoming of one's place in life."
2,0,0.15833333333333335,"Lots of great information, but pretty dense with allusions and references. Prior Japanese culture/Tale of Genji knowledge necessary."
3,0,0.0,"This is a scholarly study, not a novel."
4,0,0.22166666666666668,"The tale is an old one – dating back as it does to around 1021, it precedes the Norman Conquest by a generation – and yet it is surprisingly contemporary. Written by a noblewoman during the last period of classical Japanese history, and at a time when the imperial court of Japan was at the height of its splendor, ""The Tale of Genji"" may be the first great novel ever written; and it offers all the qualities and pleasures that great novels have delivered in the thousand years since its composition."
5,0,0.1605,"Not much is known about author Murasaki Shikibu, except that she served at court as a lady-in-waiting during the Heian period of Japanese history, and therefore knew well the court life about which she wrote in ""The Tale of Genji."" As translator Royall Tyler of Australian National University explains in an informative foreword, Shikibu was better-educated than most women of her time; she was fluent in written and spoken Chinese, even though women of her time were not supposed to know either. (Chinese was the language of the Japanese court, just as people in the Roman imperial court spoke Greek, and French was long spoken in the royal court of England; then, as now, fluency in a second language -- especially one associated with high culture -- was a mark of a superior education.) Because of her education, Shikibu was exposed to the magnificent heritage of classical Chinese culture and philosophy, all of which, combined with Shikibu’s own gifts for detailed observation of human character, informs ""The Tale of Genji."""
6,0,0.23333333333333334,"Genji himself is a prince – a son of the Emperor and a concubine, at a time when it is expected that the Emperor will have many children, both by his wives and as a result of, shall we say, more informal relationships. From early childhood, Genji distinguishes himself by his precocious talent and his extraordinarily handsome looks; and therefore the Emperor, feeling that a formal tie to the imperium will actually hold Genji back, declares Genji a commoner – an arrangement that will, in theory, give Genji a chance to advance further on the basis of his own merits."
7,0,0.2847670250896057,"Genji is young, handsome, charming, socially prominent, and rich; and therefore it should be no surprise that young women are attracted to him, and he to them. His romances are many, and modern readers may find Genji to be, in modern parlance, a bit of a player. The Japanese word for “philanderer” is, 女たらし, on’natarashi, and author Shikibu’s attitude toward Genji’s many affairs is interestingly complex. There is often a wish-fulfillment element to fiction, as there is to myth; and it is easy to imagine some readers of ""The Tale of Genji,"" especially male readers, saying, “Well, if I were young, handsome, charming, socially prominent and rich, wouldn’t I…” At the same time, Shikibu unflinchingly presents a world where different rules exist for men and women when it comes to sexual behavior – a world rather like our own – and chronicles with a clear authorial eye the pain that Genji’s affairs cause for women like his first wife Aoi (the two are married when Genji is 12 and Aoi is 16). Moreover, some of Genji's ""seductions"" may seem, to a modern reader, more like rape. Yet Shikibu simply sets down her observations regarding her characters, and lets the reader draw his or her own conclusions."
8,0,0.10068027210884352,"Along with the romantic complications of Genji’s life, there are political complications as well. In the imperial capital at what is now the city of Kyoto, affairs of state are administered by a Minister of the Left and a Minister of the Right; and while those designations have nothing to do with the modern designation of “Left” meaning liberalism and “Right” referring to conservatism, it is no surprise that these two chief ministers may have competing ambitions, and may not always see eye to eye. In Genji’s case, the Minister of the Left is Aoi’s father, and therefore Genji’s father-in-law, and the Minister of the Right is a political rival to Genji. Genji is caught in bed with Oborozukiyo, the daughter of the Minister of the Right, and from that point forward, Oborozukiyo’s older sister, the Kokiden Consort who later becomes Empress Mother, becomes a bitter, implacable, permanent, and ever-more-powerful enemy of Genji."
9,0,0.2095238095238095,"The world of ""The Tale of Genji"" is a complex world, the rules and norms of which are likely to be unfamiliar to most Western readers. Therefore, it is good that translator Tyler provides detailed footnotes on every page of the novel, as well as a listing of the novel’s main characters."
