id,star,text
0,0,"I've used computers for years, but my iMac was the first Apple product that I have bought.  Not having grown up using Apple products, I needed some help, and I have found this book quite useful.  It would be a good idea just to work my way through it, but so far I've used it just as a reference tool.  Using it has saved me from a lot of frustration so it was well worth the purchase price."
1,0,Very good find on Amazon. Very comprehensive and I'm sure will come in handy.....at some point. Only giving 4 stars right now because I really haven't had to use it much. Set up for the MAC is pretty straight forward even for a first time user like me. But the Quick Reference Guide a purchased at the same time as this has been very useful and has come in quite handy several times. I almost would recommend buying it over iMac for dummies but if for some reason something should go wrong with the system.....you may need something more comprehensive.
2,0,"This book, unlike ""For Dummies"" books I have read previously, has not been very helpful. It's probably because despite its 2012 copyright date,it's already out of date.I have had my iMac for about 1 1/2  months and it's the latest iMac desktop from Apple.""For Dummies"" describes the many things that the CD/DVD player will do, but the latest iMacs come without the device.There's even an illustration showing the player but  there is not one on the latest iMacs. A CD/DVD player can be purchased as an add-on, but it's not cheap. There are other instances of this but since it is out of date, it's not the author's fault. Not all of the book is out of date, it has been fair overall."
3,0,This book was not helpful. I was a PC user converting to Mac. There is no info on email and data processing which were my main problems. Very disappointed in the content
4,0,"Unfortunately, this book did not cover our newer Mac's High Sierra functions. While much of it is the same, there is just enough difference that a more up to date book is needed, at least for this dummy."
5,0,"After several PC's I decided to try an iMac, and am so glad that I did. This Book really explains all the things that you can do and it's easy to read and understand"
6,0,This is a great reference book to look up a subject about your computer when you haven't used a particular program or short cut for awhile.  It's well written with humor as well.
7,0,It explains the basics...but not all...
8,0,"He pads it out with very juvenile humor and presumably his interpretation of ""cool"" language."
9,0,This is a Mac up-to-date book that is a MUST-HAVE!  Totally informative and easy-to-comprehend.
10,0,The early chapters are just fill.  I was kind of hoping for more about actual use of the mac.  I probably will need to purchase another book for more in depth information.
11,0,Excellent book!  An encouraging read!
12,0,I love all of Oswald Chambers books and this was no exception.
13,0,"As the SF Opera was featuring an adaptation, I decided to read the Kindle so-called ""abridged"" version of this classic. While the beautiful writing depicts the intricacies and dynamics of that era, the constant repetition became boring. Nevertheless, I persevered till thankfully the end. Thank goodness for Kindle as the archaic writing style allowed me to look up words on practically every page."
14,0,"Be advised, due to type font it's 3 times as long as regular Kindle books of this size. It take's between 1 and 2 hours to read a chapter and there are 56 of them!"
15,0,"Children's book rather than the authentic, adult version classic. Buyer be ware!"
16,0,Bad translation. I have heard great things about this story but could not get past the poor translation.
17,0,"Reminds me of Jane Austin. Interesting peak into Chinese society. Well Ming era anyway.The 2nd book maybe better, I hope."
18,0,"This is a tough read. It is apparently a well known book in China, but in translation it is nearly incomprehensible."
19,0,translation too direct very Asian style of construction and words used
20,0,The Hawkes translation 
21,0," is probably the most enjoyable for English readers, though in some ways it is maybe over-adapted.  The Yang translation "
22,0, is more literal.  This Joly translation is the most literal and even contains some explicit parenthetic explanations of various Chinese terms.  It is awkwardly literal sometimes.
23,0,Few readers will be in this position: but if you want an English translation to help you with the Chinese original this is probably the best.  Yang is just about as helpful.
24,0,"Joly's was the first substantial translation of the classic Chinese novel ""Dream of the Red Chamber"", now reissued by Tuttle, lightly revised (or so it seems). However - and this is a big however - while the translation is relatively free from major errors, it has a nauseatingly crabbed and archaic style which makes understanding a near-impossibility. The thous and whithers and whenceforths are not excised from this text. Now that we have the David Hawkes/John Minford Penguin translation and the Yangs' more literal version, Joly's version can safely be binned. If you are curious about this version, Joly's 56 chapters are all available at the Gutenberg website."
25,0,"Truth in advertising should, I believe, dictate that potential buyers be aware of two issues with this book:  First, the book may have been recently published, but the translation goes back to two turns of the century ago.  That's not a bad thing, but the buyer should know that this is not even close to a recent translation.  Second, this book is not the whole book.  It actually contains less than half of ""The Dream of the Red Chamber,"" and abruptly breaks off leaving the reader suspended with nowhere to go.  That's not necessarily bad either if only we were told that this was the case, but we are not.  If you want the whole story, this is not the book for you."
26,0,"What an exceptional little book. It is apparently a 'Real Reads' series, which I had not previously heard of. The website ([...] states the books are ""retellings of great literature from around the world, each fitted into a 64-page book."" The books themselves are paperback (I see they also are available on Audible), but what a lovely paperback, with a book cover, thick, thick paper and charming illustrations. Other features that I enjoyed were a list of characters (which I did use quite often) and in the back, there is a 'Taking Things Further' section. This section expands on the original book, followed by a section of questions and such, that one could use for a book club or more in-depth study. Also included here is a mid-nineteenth century illustraction by Chinese artist Sun Wen. What a lovely book to introduce young readers to great liturature."
27,0,"It is timeless Chinese storytelling, with all the haunting beauty, drama and heartache. This may be a bit of a challange for younger readers as there are instances of suicide, domestic violence, drunkenness, murder and adultry. These displays of behavior are not detailed and if one is old enough to read Shakespeare, then this book would also be appropriate, I imagine."
28,0,"I am ashamed to admit, I have not read the original which is one of China's four great classic novels. I therefore cannot say how well this abridged copy captures the 2000 or so page original. What I can state, is that this shortened story is still beautiful, detailed and sadly haunting. It is probably one of those books that every learned child should read. It gives insight to Chinese history and culture in a compact but entertaining dose. It piqued my interest enough that I put the unabridged english version on my 'to read' list. I would have loved this in junior high after we read Romeo and Juliet. It would have been a interesting comparison in cultures."
29,0,"Disclosure: I read a free copy of the book in return for my candid review. Be assured, my opinion is honest, and I do not owe or know the author/publisher."
30,0,I am a PhD student with major in signal processing and machine learning with applications to neuroimaging data. I must emphasize that the following review is affected by my knowledge and review criteria. So it is somewhat subjective.
31,0,This book may be the newest book on EEG signal processing. It reviewed some newly developed techniques with emphasizing on independent component analysis (ICA). Plenty of references are provided at the end of each chapter.
