id,star,sentiment,text
0,0,0.65,Great book ever. Glad to read.
1,0,0.20909090909090908,"I don't know how someone read this and thought it would make a good series.  I'm glad they did, but don't expect the series to be like the books.  I read a lot, all types of genres, but I had to force myself to get through as much as I did.  The books and the series are so different I could not watch and read at the same time.  Just as a book, without comparing it to the series, it is filled with way too much unnecessary information.  There were far too many characters that didn't matter to warrant mentioning there name.  If I had to read what someone was wearing one more time, I was going to throw the book.  It needs to be cut by 70% to remove the waste."
2,0,-0.39999999999999997,"This is book two in the Game of Thrones series.  At this point, King Joffrey is the ruler of the Seven Kingdoms.  Because he is still a boy, his mother remains Queen Regent.  Joffrey remains cruel and is holding Sansa hostage at King's Landing.  Now that Sansa's traitor father is dead, Joffrey and his mother refuse to let her go home.  Sansa's sister, Arya is posing as an orphan boy and trying to get back to Winterfell.  Sansa's brother, Robb - King of the North - is battling to rein the seven kingdoms.  Danerys is trying to get to Kings Landing so she can become the rightful Queen of the seven kingdoms."
3,0,0.41208333333333336,"This book was as good as the first.  RR. Martin is a very talented writer.  There are 1000 characters, and you sometimes get a little lost on who belongs to you, but it doesn't distract from the story.  Even though he writes about a fictional world, he doesn't make up words just to make them up.  He makes those 1000 pages fly by."
4,0,0.22,"I enjoyed this book and look forward to reading the next.  If you haven't tried this series yet, I highly recommend it."
5,0,0.3416666666666667,"I tried reading the first book a while ago, and honestly got lost with all of the characters. After watching the TV show, it was easier for me to keep them all straight in my head. This is coming from a life-long avid reader (I read almost every day and have a library of books under my belt). All that said, once you get your mind wrapped around the characters, the books are phenomenal. It's not an easy read, no - but it's well worth the effort. Even if you've seen the TV show, the books keep you enthralled in this fantasy world. Highly recommend!"
6,0,0.27314814814814814,"As with the first novel in this fabulous series ""A Clash of Kings"" features memorable characters interwoven into a richly complex story of kings and lords, soldiers and knights, ladies and princesses.  It is hard to overstate how engrossing this story is.  Many of the characters are quite literally unforgettable.  It all takes place in a world that never was, but which bears some resemblance to medieval Europe and Asia."
7,0,0.17500000000000002,"Here, competing lords are vying for the Iron Throne -- the kingship of Westeros.  The people of the North seek to break away and become an independent kingdom under the leadership of the Young Wolf, Robb Stark of Winterfell.  This is a great story."
8,0,0.21717261904761903,"Lord Tyrion Lannister dominates this second novel, but the other main characters (and many of the minor ones) are equally unforgettable and all are highly nuanced.  The story sweeps forward as lords vie for the right to be the king.  Don't miss this one.  RJB."
9,0,0.6000000000000001,As always every book from the Song of Ice and Fire series is amazing.
10,0,0.05,This is the second book to the series and I love the allegories of this book which can be related to reality where power grab is common and often the order of the day.
11,0,-0.1,"This books pick up from where the Game of Thrones left after the  throne was succeeded by the son of Robert Baratheon, Joffrey Baratheon. Yet his succession to the Iron Throne is packed with controversies. This is the very same reason that prompted others to claim for the same throne."
12,0,0.11000000000000001,But what I find to be most frustrating was Stannis is claim to the throne is based on his legitimate succession as the eldest sibling of the former king but why the hell would his younger brother Renly made the same claim? Wouldn’t it be great if Stannis and Renly were on the same side against the Lannisters but that is how deep and complex the story and plots of the series that’s why I love it.
13,0,0.04999999999999999,I reccommend this to all the fans of the Game of Thrones series and those who are seeking books that has some element of political allegories in it. The same reason why I am reading the series aside from being fan of the popular TV series.
14,0,0.22500000000000003,As I said above the series is amazing and enlightening as I look at it from the perspective of political allegory.
15,0,0.23000000000000004,"Wonderful second installment to llnent to the Song of Ice and Fire series. I enjoyed this book as much as the first, despite having watched the entire HBO series prior to reading any of the books. I'll repeat my comment in my review of the first book: JK Rowling got me hooked on reading as a child, and George R R Martin got me hooked back on reading as an adult."
16,0,-0.15,"I completed all five books of the series before reviewing.  I might give it 2.5 stars.  The series suffers from repetition.  The author literally reminds you of plot points that just occurred, all the time.  The characters regularly repeat the same mantras over and over.  So there is simply too much repetition.  It's tedious."
