id,star,sentiment,text
0,0,0.3053030303030303,"I purchased this for my brother as a Christmas gift. Like me, he is a book collector, and has been wanting the first volume of this title, ""A Dream of Red Mansions"" for some time now (he already has Volumes 2 and 3). I purchased this book through a third party vendor here on Amazon and the book arrived intact and in excellent, almost new condition. It is a hardcover, printed in China, and is the first edition. The book contains some beautiful color illustrations depicting important scenes from the book. A classic of Chinese literature, this is a story that will appeal to readers keen to explore the diversity in world literature."
1,0,0.22731481481481483,"This is one of the most interesting and profound novels I have read, a masterpiece of Chinese literature and a world class contribution. I genuinely enjoyed this translation of this 250-year old novel. The text flowed well and was clear and understandable.  The Preface was well-written and extremely helpful to understanding this novel and the provenance of the text. Note that the original author had died after completing the first 80 chapters, and a different author made up the concluding 40 chapters. Those last 40 chapters were clearly not up to par, both in terms of literary quality, and in sticking to the character, spirit, and plot trajectory of the original novel. I therefore decided to stop reading at chapter 82 in Vol. 5. The original 80 chapters are a masterpiece however. The poetry therein stands out of itself as great literature. The descriptions and characterization are so realistic you feel as if you have known those people and places for years. I would say this is a must-read!"
2,0,0.10799999999999998,"I am studying Chinese and but my reading is not good enough to be able to read the original of this famous classic novel.  What I really liked about this edition was having Chinese and English face to face, which helps me practice reading my Chinese.  The English translation is generally good - it is easily readable, yet sticks closely to the Chinese original.  It is not exact in some cases, especially when it comes to some of the names.  Endnotes explain the meaning of the Chinese names, but there's relatively few of them so they don't disrupt the flow of the text.  The 6 volumes are thick and heavy, and we are treated to a full page illustration in the style of Chinese painting every other chapter.  That's about 60 paintings."
3,0,0.00879629629629629,"The reason I give it a star less is the prevalence of typos.  You're likely to encounter one every page or every few pages.  Most were obvious and easy to correct, but it was rather annoying.  A little more quality control in the typesetting would have helped."
4,0,0.3125,"It will take a while to finish, but I love the book so far!"
5,0,0.2053333333333333,"Present Chinese culture rests on seven pillars. One of these is the sayings of Kung Fu Tse, the others are found embodied in the ""Four Classics"", of which this is one. An easy read, an easy interpretation. Highly recommend for any traveler, and those who want to understand our Oriental Neighbor."
6,0,0.0,I read this book second of the 4 classics (or 5 depending on who you speak to)
7,0,0.08333333333333336,"It was like watching a long, slow soap opera. The descriptions of food, clothing, and gifts were amazing."
8,0,-0.05,Just the long chapters discussing house politics and Baoyu's aloofness made me force myself to finish.
9,0,0.39999999999999997,"The ending was really good, and somewhat unexpected."
10,0,0.015625,"Romanization schemes for Chinese are notoriously imperfect, if for no other reasons than that 4 tones -- 5 if you count a null tone sometimes used -- are not immediately obvious to those who do not have a speaking knowledge of any of the Chinese dialects."
11,0,0.17892156862745098,"Perhaps I am prejudiced, having learned Chinese primarily using texts that happened to (mostly) rely on the Pinyin system.  However, it seems to me that Pinyin has the distinct merit of adhering most closely to the principles of most of the primary European languages (especially Spanish, Italian and other Romance languages) where vowel sounds are far more regular and predictable than they are in English, particularly."
12,0,-0.010416666666666664,"I can't comment (yet) on this particular translation, though I am working through several other bilingual editions that are part of the same Foreign Language Press publication project, and can give a few early impressions based on what I've read so far."
13,0,0.027777777777777776,"These translations are commendable in that they seek to provide a full translation of the works in question, thereby attempting to avoid some of the cultural ""hyperbole"" that has been attached to some of these works by translators approaching the texts from outside the context of Chinese culture.  As a native-born speaker of English, I did not begin studying Chinese until my late teens and will never have the complete understanding of the culture to argue persuasively over the finer points of these translations."
14,0,-0.0014285714285714262,"However, on the intuitive side, I do not a certain defensiveness at times and an effort to provide translations that are either culturally acceptable to present-day political realities in the Chinese mainland regions, or that may simply be dodging some of the tougher editorial calls to be made."
15,0,0.15615384615384617,"It is very clear, especially in some of the introductory matter that accompanies many texts in this series, that the final English version was approved by someone not a native speaker of idiomatic English.  In most cases, the evidence appears in simple errors of literal translation of phrases that make perfect idiomatic sense in Chinese, but, rendered with too much literal faithfulness, are puzzling to say the least when they are rendered in English."
16,0,0.1783482142857143,"I would agree with others who've commented that these texts are probably best for someone whose knowledge of Chinese is limited and is looking for an English ""crib sheet"" for entering into the Chinese originals (or in some cases, modern Chinese renditions of Classical Chinese texts, as in FLP's 2 volume translation of the works of Zhuangzi).  Note, however, that the FLP translation of Zhuangzi is (unless I'm mistaken) the most complete translation presently available in English, and this is true of many other texts in the FLP's publishing project)."
17,0,0.2972222222222222,"As a student of Chinese language, I really don't care much what romanization method is used.  They are all far from ideal.  What I care about is that someone is making these texts available in English, even if the translations are not always the most poetic -- where poetry is called for."
18,0,0.15952380952380957,"I love this story, I have read several different translated versions and this one seems to cover the most in a very condensed paper back. The Original book is over 5000 pages I think and that is before the follow up author took it upon himself to finish the 1835 original unfinished work. Le's put it this way there are several movies the most recent with English sub titles is 28 episodes each an hour and a half long"
